video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=gqne_YRrp2Y&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LASportsReel,Los Angeles Sports & Entertainment Commission,LASEC Business Connect Networking Event | Los Angeles Sports & Entertainment Commission,114,1 year,"On July 23, we hosted 53 of companies for a LASEC Business Connect networking event. We had the privilege of discussing the ...",2026-01-22 07:21:46.228502
/watch?v=ucSK7btsyWQ&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LAprosportsfan,L.A. Pro Sports Fan,The HOT 10-Minute Los Angeles Sports Report!,57,1 year,"In this video, you get a 10-minute update on Los Angeles sports news -- Lakers, Dodgers, Clippers, Kings, Chargers, Angels, ...",2026-01-22 07:21:46.229564
/watch?v=kimh2cRoJMk&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LAprosportsfan,L.A. Pro Sports Fan,The HOT 10-Minute Los Angeles Sports Report!,197,1 year,"In this video, you get a 10-minute update on Los Angeles sports news -- Lakers, Dodgers, Clippers, Kings, Chargers, Angels, ...",2026-01-22 07:21:46.233210
/watch?v=OrEnXtBte7c&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@whistlesports,Whistle,You've Been Doing Los Angeles Sports All Wrong,6.4K,9 years,"Los Angeles might just be the BEST sports town in the WORLD! Colin and Samir caught a Dodgers game, played ball with Nick ...",2026-01-22 07:21:46.234344
/watch?v=z25WSL5knFU&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz0gcJCYcKAYcqIYzv,/@LAprosportsfan,L.A. Pro Sports Fan,The HOT 10-Minute Los Angeles Sports Report!,15,1 year,"In this video, you get a 10-minute update on Los Angeles sports news -- Lakers, Dodgers, Clippers, Kings, Chargers, Angels, ...",2026-01-22 07:21:46.235408
/watch?v=a2ZwKuGd4tI&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LAprosportsfan,L.A. Pro Sports Fan,The HOT 10-Minute Los Angeles Sports Report!,11,1 year,"In this video, you get a 10-minute update on Los Angeles sports news -- Lakers, Dodgers, Clippers, Kings, Chargers, Angels, ...",2026-01-22 07:21:46.238223
/watch?v=PHjyJ1nNXcs&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz0gcJCYcKAYcqIYzv,/@LAprosportsfan,L.A. Pro Sports Fan,The HOT 10-Minute Los Angeles Sports Report!,55,1 year,"HEY you!! Los Angeles resident.... this is a quick 10-minute update on L.A. teams -- Lakers, Dodgers, Clippers, Kings, Chargers, ...",2026-01-22 07:21:52.884696
/watch?v=0PoqrQfWGV0&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LAprosportsfan,L.A. Pro Sports Fan,"Los Angeles Sports News This Week (Feb 18, 2024)",13,1 year,Your Los Angeles sports teams. What place are they in? Who do they play next? Visiting Los Angeles. #larams #lakers #chargers ...,2026-01-22 07:21:52.885955
/watch?v=VkigmD0YciA&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LAprosportsfan,L.A. Pro Sports Fan,The HOT 10-Minute Los Angeles Sports Report!,51,1 year,"June 30, 2024---Hey Los Angeles resident, here's a quick 10-minute update on Los Angeles sports news -- Lakers, Dodgers, ...",2026-01-22 07:21:52.887685
/watch?v=VtF3Ek0UOXc&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LAprosportsfan,L.A. Pro Sports Fan,The HOT 10-Minute Los Angeles Sports Report!,38,1 year,"In this video, you get a 10-minute update on Los Angeles sports news -- Lakers, Dodgers, Clippers, Kings, Chargers, Angels, ...",2026-01-22 07:21:52.890178
/watch?v=6593XiDAfOc&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LASportsReel,Los Angeles Sports & Entertainment Commission,2017 U.S. Amateur Championship - Jerry West PSA | Los Angeles Sports & Entertainment Commission,143,8 years,Join Jerry West and watch as the best athletes in amateur golf compete at the 117th U.S. Amateur Championship August 14–20 at ...,2026-01-22 07:21:52.891331
/watch?v=myDfhqaEot4&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz0gcJCYcKAYcqIYzv,/@LAprosportsfan,L.A. Pro Sports Fan,The HOT 10-Minute Los Angeles Sports Report!,37,1 year,"In this video, you get a 10-minute update on Los Angeles sports news -- Lakers, Dodgers, Clippers, Kings, Chargers, Angels, ...",2026-01-22 07:21:52.892515
/watch?v=ehqHMDMcbuo&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LASportsReel,Los Angeles Sports & Entertainment Commission,Dodgers All-Access 2014 | Los Angeles Sports & Entertainment Commission,1.2K,11 years,Join LASEC and the Los Angeles Dodgers Foundation for an all-access look at the Los Angeles Dodgers. - Upcoming Major ...,2026-01-22 07:21:52.894160
/watch?v=PhcjIfm_LtM&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LASportsReel,Los Angeles Sports & Entertainment Commission,2017 US Amateur Sizzle | Los Angeles Sports & Entertainment Commission,779,9 years,The United States Golf Association 2017 US Amateur Sizzle video presented by the Los Angeles Sports and Entertainment ...,2026-01-22 07:21:52.895293
